Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
26/10/2017;08/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;138,0;0 PAX;67 PAX
26/10/2017;09/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;09/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;09/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;09/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;09/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;09/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;10/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;10/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;11/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;11/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;11/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;11/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;12/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;12/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;12/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;12/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;138,0;0 PAX;67 PAX
26/10/2017;12/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;12/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;13/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;13/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;13/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;13/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;13/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;13/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;14/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;14/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;14/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;14/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;14/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;14/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
