Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
12/04/2018;01/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;01/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;01/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;01/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;01/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;01/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;02/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;02/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;02/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;02/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;02/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;02/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;03/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;03/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;03/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;03/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;03/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;03/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;04/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;04/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;04/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;04/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;04/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;04/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;05/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;05/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;06/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;06/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;06/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;06/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;07/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;07/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;07/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;07/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;07/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;07/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;08/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;08/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;08/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;08/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;08/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;08/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;09/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;09/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;09/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;09/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;09/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;09/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;10/01/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;10/01/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;10/01/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;10/01/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;10/01/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
12/04/2018;10/01/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;0 PAX
